"","newcode","venue","period","score.diff.cat","strength.cat","season","Date","gcode","combocode","p1","p2","p3","p4","p5","ID.1","ID.2","ID.3","ID.4","ID.5","POS.1","POS.2","POS.3","POS.4","POS.5","NAME.1","NAME.2","NAME.3","NAME.4","NAME.5","TOI","p1G","p1A","p1A2","p1A3","p1A4","p1A5","p2G","p2A","p2A1","p2A3","p2A4","p2A5","p3G","p3A","p3A1","p3A2","p3A4","p3A5","p4G","p4A","p4A1","p4A2","p4A3","p4A5","p5G","p5A","p5A1","p5A2","p5A3","p5A4","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","HSCF","HSCA","OZS","NZS","DZS","team","TCF","TCA","TFF","TFA","TGF","TGA","TSCF","TSCA","THSCF","THSCA"
"973","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.44999001893751e+34,"soderca85","bergepa85",NA,NA,NA,4679,332,20000,20000,20000,"C","C",NA,NA,NA,"CARL SODERBERG","PATRICE BERGERON",NA,NA,NA,0.4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"974","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.35239596022949e+32,"campbgr83","bergepa85","krugxto91",NA,NA,706,332,2594,20000,20000,"CL","C","D",NA,NA,"GREGORY CAMPBELL","PATRICE BERGERON","TOREY KRUG",NA,NA,0.4,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"975","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.5023370773678e+34,"campbgr83","soderca85",NA,NA,NA,706,4679,20000,20000,20000,"CL","C",NA,NA,NA,"GREGORY CAMPBELL","CARL SODERBERG",NA,NA,NA,0.825,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,0,1,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"976","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.33685931074071e+33,"marchbr88","charazd77","trotmza90",NA,NA,3073,782,5065,20000,20000,"L","D","D",NA,NA,"BRAD MARCHAND","ZDENO CHARA","ZACH TROTMAN",NA,NA,0.525,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"977","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.87490114789201e+33,"soderca85","pastrda96","trotmza90",NA,NA,4679,3783,5065,20000,20000,"C","RL","D",NA,NA,"CARL SODERBERG","DAVID PASTRNAK","ZACH TROTMAN",NA,NA,0.425,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"978","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.22490545715258e+33,"campbgr83","soderca85","pastrda96",NA,NA,706,4679,3783,20000,20000,"CL","C","RL",NA,NA,"GREGORY CAMPBELL","CARL SODERBERG","DAVID PASTRNAK",NA,NA,0.425,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"979","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.06298558679344e+33,"bergepa85","seidede81","krugxto91",NA,NA,332,4469,2594,20000,20000,"C","D","D",NA,NA,"PATRICE BERGERON","DENNIS SEIDENBERG","TOREY KRUG",NA,NA,0.4,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"980","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",6.25567631121808e+29,"campbgr83","soderca85","seidede81","krugxto91",NA,706,4679,4469,2594,20000,"CL","C","D","D",NA,"GREGORY CAMPBELL","CARL SODERBERG","DENNIS SEIDENBERG","TOREY KRUG",NA,0.4,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"981","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.37593687640313e+33,"marchbr88","erikslo85","trotmza90",NA,NA,3073,1344,5065,20000,20000,"L","RL","D",NA,NA,"BRAD MARCHAND","LOUI ERIKSSON","ZACH TROTMAN",NA,NA,0.525,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"982","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.48879260259272e+33,"kellych80","spoonry92","smithre91",NA,NA,2396,4718,4652,20000,20000,"LC","CL","RL",NA,NA,"CHRIS KELLY","RYAN SPOONER","REILLY SMITH",NA,NA,0.866666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"983","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",6.49321677162911e+32,"marchbr88","erikslo85","charazd77",NA,NA,3073,1344,782,20000,20000,"L","RL","D",NA,NA,"BRAD MARCHAND","LOUI ERIKSSON","ZDENO CHARA",NA,NA,0.525,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"984","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.13669742464476e+34,"bergepa85","charazd77",NA,NA,NA,332,782,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","ZDENO CHARA",NA,NA,NA,0.525,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
